# BOSCH-DARAB extract file created 30.01.2026 19:59:50
#
# Data from source file "C:\Bosch\WinDarab\Data\DataFiles\FK07_10_12_2025 Outing 34 SCCA AutoX.bmsbin"
# where 0.000 <= xtime <= 4890.020
# 
xtime    [s]	xdist    [m]	az       [g]	Coolant_Temperature[°C]	Engine_Speed[rpm]	Fuel_Pressure[kPa]	gps_speed[km/h]	lapdist  [m]	laptime  [s]	str_whl_angle[°]	Throttle_Position[%]
         16.700	            0.0	       0.986170	           20.7	              0	          331.4	           0.00	            0.0	         16.700	         197.30	           19.9
         16.800	            0.0	       0.991906	           20.7	              0	          331.5	           0.00	            0.0	         16.800	         197.30	           20.0
         16.900	            0.0	       0.985150	           20.7	              0	          330.6	           0.00	            0.0	         16.900	         197.30	           19.9
         17.000	            0.0	       0.993945	           20.7	              0	          330.9	           0.00	            0.0	         17.000	         197.25	           19.9
         17.100	            0.0	       0.995475	           20.7	              0	          331.2	           0.00	            0.0	         17.100	         197.30	           19.9
         17.200	            0.0	       1.001466	           20.7	              0	          330.7	           0.00	            0.0	         17.200	         197.25	           19.9
         17.300	            0.0	       0.997514	           20.7	              0	          331.1	           0.00	            0.0	         17.300	         197.30	           19.9
         17.400	            0.0	       1.004652	           20.7	              0	          330.9	           0.00	            0.0	         17.400	         197.30	           19.9
         17.500	            0.0	       0.998024	           20.7	              0	          330.5	           0.00	            0.0	         17.500	         197.35	           20.0
         17.600	            0.0	       0.999681	           20.7	              0	          330.9	           0.00	            0.0	         17.600	         197.30	           20.0
         17.700	            0.0	       0.999299	           20.7	              0	          330.6	           0.00	            0.0	         17.700	         197.35	           20.0
         17.800	            0.0	       0.996877	           20.7	              0	          330.6	           0.00	            0.0	         17.800	         197.30	           19.9
         17.900	            0.0	       0.994455	           20.7	              0	          330.2	           0.00	            0.0	         17.900	         197.35	           20.0
         18.000	            0.0	       0.996877	           20.6	              0	          329.7	           0.00	            0.0	         18.000	         197.25	           20.0
         18.100	            0.0	       0.997642	           20.6	              0	          330.2	           0.00	            0.0	         18.100	         197.30	           20.0
         18.200	            0.0	       0.993053	           20.7	              0	          330.5	           0.00	            0.0	         18.200	         197.40	           19.9
         18.300	            0.0	       0.995220	           20.7	              0	          330.4	           0.00	            0.0	         18.300	         197.30	           19.9
         18.400	            0.0	       0.997259	           20.7	              0	          330.0	           0.00	            0.0	         18.400	         197.30	           19.9
         18.500	            0.0	       0.993435	           20.7	              0	          330.0	           0.00	            0.0	         18.500	         197.30	           19.9
         18.600	            0.0	       0.995730	           20.7	              0	          329.8	           0.00	            0.0	         18.600	         197.35	           19.9
         18.700	            0.0	       0.993308	           20.7	              0	          330.2	           0.00	            0.0	         18.700	         197.35	           19.9
         18.800	            0.0	       0.992161	           20.7	              0	          329.8	           0.00	            0.0	         18.800	         197.40	           19.9
         18.900	            0.0	       0.994073	           20.7	              0	          329.4	           0.00	            0.0	         18.900	         197.35	           19.9
         19.000	            0.0	       0.991906	           20.7	              0	          329.8	           0.00	            0.0	         19.000	         197.35	           19.9
         19.100	            0.0	       0.991268	           20.7	              0	          329.2	           0.00	            0.0	         19.100	         197.30	           19.9
         19.200	            0.0	       0.995220	           20.8	              0	          329.0	           0.00	            0.0	         19.200	         197.35	           19.9
         19.300	            0.0	       0.985150	           20.8	              0	          329.1	           0.00	            0.0	         19.300	         197.40	           20.0
         19.400	            0.0	       0.979414	           20.7	              0	          329.3	           0.00	            0.0	         19.400	         197.30	           19.9
         19.500	            0.0	       0.984768	           20.7	              0	          329.5	           0.00	            0.0	         19.500	         197.30	           20.0
         19.600	            0.0	       0.975208	           20.7	              0	          329.1	           0.00	            0.0	         19.600	         197.30	           19.9
         19.700	            0.0	       0.995857	           20.7	              0	          328.3	           0.00	            0.0	         19.700	         197.35	           19.9
         19.800	            0.0	       0.989356	           20.7	              0	          328.8	           0.00	            0.0	         19.800	         197.30	           19.9
         19.900	            0.0	       0.994328	           20.7	              0	          329.0	           0.00	            0.0	         19.900	         197.35	           19.9
         20.000	            0.0	       0.994455	           20.7	              0	          328.9	           0.00	            0.0	         20.000	         197.30	           19.9
         20.100	            0.0	       0.991523	           20.7	              0	          328.4	           0.00	            0.0	         20.100	         197.30	           19.9
         20.200	            0.0	       0.993053	           20.7	              0	          328.8	           0.00	            0.0	         20.200	         197.30	           19.9
         20.300	            0.0	       0.999044	           20.7	              0	          328.8	           0.00	            0.0	         20.300	         197.30	           19.9
         20.400	            0.0	       0.997897	           20.7	              0	          329.0	           0.00	            0.0	         20.400	         197.35	           20.0
         20.500	            0.0	       0.993690	           20.7	              0	          328.6	           0.00	            0.0	         20.500	         197.30	           20.0
         20.600	            0.0	       0.998406	           20.8	              0	          328.1	           0.00	            0.0	         20.600	         197.30	           20.0
